id;Data;Cidade;Vendedor;Contrato;Valor
1;23/03/2023;Artur Nogueira;Maria Clara Martins;1003;4640,00
2;24/03/2023;Holambra;Andreia Moreno;1004;6240,00
3;25/03/2023;Pedreira;Jaqueline Almeida;1005;5910,90
4;26/03/2023;Amparo;Jaqueline Almeida;1006;1050,00
5;27/03/2023;Amparo;Mariana Silva;1007;9550,90
6;28/03/2023;Pedreira;Silvia Culiari Lima;1008;2880,00
7;29/03/2023;Campinas;Ivone Teixeira;1009;6830,00
8;30/03/2023;Holambra;Maria Clara Martins;1010;2140,50
9;31/03/2023;Holambra;Jaqueline Almeida;1011;1630,50
10;01/04/2023;Amparo;Silvia Culiari Lima;1012;3450,90
11;02/04/2023;Holambra;Andreia Moreno;1013;4730,00
12;03/04/2023;Santo Antônio de Posse;Mariana Silva;1014;8560,90
13;04/04/2023;Amparo;Ivone Teixeira;1015;2200,90
14;05/04/2023;Amparo;Regina Santos Rocha;1016;8010,90
15;06/04/2023;Holambra;Maria Clara Martins;1017;5650,50
16;07/04/2023;Artur Nogueira;Sandra Oliveira;1018;9270,50
17;08/04/2023;Jaguariúna;Silvia Culiari Lima;1019;9370,00
18;09/04/2023;Amparo;Silvia Culiari Lima;1020;1350,00
19;10/04/2023;Artur Nogueira;Mariana Silva;1021;6520,00
20;11/04/2023;Santo Antônio de Posse;Mariana Silva;1022;2610,50
21;12/04/2023;Holambra;Jaqueline Almeida;1023;7940,90
22;13/04/2023;Campinas;Andreia Moreno;1024;9530,50
23;14/04/2023;Pedreira;Mariana Silva;1025;9990,90
24;15/04/2023;Campinas;Ivone Teixeira;1026;3730,50
25;16/04/2023;Amparo;Ivone Teixeira;1027;8540,50
26;17/04/2023;Santo Antônio de Posse;Silvia Culiari Lima;1028;9770,90
27;18/04/2023;Holambra;Regina Santos Rocha;1029;6730,00
28;19/04/2023;Campinas;Silvia Culiari Lima;1030;5500,90
29;20/04/2023;Amparo;Maria Clara Martins;1031;9980,90
30;21/04/2023;Holambra;Andreia Moreno;1032;6630,00
31;22/04/2023;Santo Antônio de Posse;Regina Santos Rocha;1033;2320,90
32;23/04/2023;Jaguariúna;Ivonete Teixeira;1034;6710,90
33;24/04/2023;Jaguariúna;Andreia Moreno;1035;9030,50
34;25/04/2023;Campinas;Silvia Culiari Lima;1036;7710,90
35;26/04/2023;Campinas;Mariana Silva;1037;2070,50
36;27/04/2023;Jaguariúna;Regina Santos Rocha;1038;8550,50
