id;cpf;nome;cep;numero;complemento
1;101.346.425-70;Quevin Bispo;13919-404;940;
2;484.876.090-90;Sara de Souza Alves;13919-405;604;
3;549.915.231-41;Evandro Silva;13919-406;289;
4;870.478.717-05;Zélia Neto;13919-407;233;
5;659.924.344-45;Tatiane Oliveira Teixeira;13919-408;488;
6;455.745.981-16;Gilberto Martim;13919-409;776;fundos
7;219.826.395-55;Ivo Souza;13919-410;413;
8;484.584.060-04;Tatiane Silva Souza;13919-411;47;
9;714.626.501-39;Umberto Oliveira Neto;13919-412;249;AP14 BL24
10;936.097.170-76;Gisele Matos;13919-413;231;
11;829.070.043-10;Douglas de Oliveira Oliveira;13919-414;444;
12;448.299.120-14;Timóteo Bispo;13919-415;77;
13;164.684.026-70;Hugo Bispo;13919-404;227;
14;485.230.922-18;Carla Bispo J�nior;13919-405;375;
15;390.046.454-54;Helena Matos;13919-406;421;AP14 BL26
16;868.308.397-77;Willian Oliveira Neto;13919-407;336;
17;629.872.318-81;Xeila Bispo;13919-408;210;
18;715.425.766-01;Flávia Alves;13919-409;30;
19;199.535.473-27;Paula Cust�dio Mattos;13919-410;886;fundos
20;247.129.753-69;Hugo Martins;13919-411;603;
21;502.923.709-70;Valéria Martins Custódio;13919-412;753;
22;174.437.799-50;Evandro Oliveira;13919-413;536;AP44 BL10
23;838.879.271-76;Antônio Cust�dio;13919-414;769;
24;636.671.293-00;Carla Silva;13919-415;663;
25;894.979.642-26;Luis Filho Teixeira;13919-412;400;
26;148.904.171-09;Eva Silva;13919-413;542;
27;500.698.790-10;Xailo Souza de Souza;13919-414;140;
28;599.764.172-41;Norberto Teixeira;13919-415;103;
29;282.794.051-51;Bruna Oliveira Neto;13919-404;93;
