id_cliente;Telefone
1;19-04200-6656
1;19-26629-1637
2;19-25657-6328
3;19-58283-5280
4;19-97210-3688
5;19-76473-3009
5;19-32887-0288
6;19-21656-6673
7;19-40818-5626
8;19-23800-1397
9;19-70369-6223
10;19-59529-5611
11;19-08540-4259
11;19-43807-6196
12;19-91227-8846
13;19-84570-8790
14;19-06113-3302
15;19-05900-9624
16;19-65329-2409
17;19-27994-3411
18;19-81435-9997
19;19-68006-4771
20;19-47152-0661
21;19-23779-0730
22;19-85287-3890
23;19-26713-0996
24;19-16502-2743
25;19-82890-0575
26;19-75170-5820
27;19-19524-0713
28;19-65072-7747
29;19-65099-7930
