id_escaionamento;placa;cpf;id_vaga;entrada;saida;valor_estacionamento
134;CDB-6550;701.815.694-77;1;2022-03-06 11:44;2022-03-06 16:14;10.00
90;FBE-7782;409.163.286-60;2;2022-03-04 10:56;2022-03-04 15:11;10.00
3;CAF-5415;757.816.660-36;3;2022-02-24 08:31;2022-02-24 11:01;7.50
14;CDB-6550;701.815.694-77;3;2022-02-25 11:51;2022-02-25 15:21;8.75
35;FBE-7782;981.894.943-92;3;2022-02-27 10:59;2022-02-27 14:14;8.75
43;FBE-7782;981.894.943-92;3;2022-02-28 09:19;2022-02-28 12:04;7.50
85;LEJ-4B96;073.202.759-45;3;2022-03-03 10:40;2022-03-03 14:55;10.00
143;CDB-6550;701.815.694-77;3;2022-03-07 09:22;2022-03-07 13:07;8.75
159;FBD-1173;629.680.888-74;3;2022-03-08 11:41;2022-03-08 13:41;7.50
7;LEJ-4B96;073.202.759-45;4;2022-02-25 09:51;2022-02-25 12:06;7.50
106;FBD-1173;893.076.453-37;4;2022-03-04 08:25;2022-03-04 11:55;8.75
10;FBE-7782;409.163.286-60;5;2022-02-25 11:55;2022-02-25 14:10;7.50
110;FBE-7782;981.894.943-92;5;2022-03-05 08:14;2022-03-05 09:29;6.25
119;FBE-7782;981.894.943-92;5;2022-03-05 11:30;2022-03-05 13:45;7.50
126;LEJ-4B96;073.202.759-45;5;2022-03-06 12:28;2022-03-06 16:43;10.00
109;LEJ-4B96;073.202.759-45;6;2022-03-05 10:00;2022-03-05 12:15;7.50
155;CDB-6550;701.815.694-77;6;2022-03-08 10:25;2022-03-08 14:55;10.00
22;ACH-6A95;158.660.877-07;7;2022-02-26 12:01;2022-02-26 16:01;10.00
34;FBD-1173;629.680.888-74;7;2022-02-27 11:05;2022-02-27 15:20;10.00
54;FBE-7782;409.163.286-60;7;2022-03-01 10:56;2022-03-01 13:11;7.50
61;FBE-7782;981.894.943-92;7;2022-03-01 08:30;2022-03-01 13:00;10.00
63;FBE-7782;981.894.943-92;7;2022-03-01 09:47;2022-03-01 12:02;7.50
64;ACH-6A95;158.660.877-07;7;2022-03-01 08:07;2022-03-01 12:37;10.00
26;FBD-1173;893.076.453-37;8;2022-02-26 12:38;2022-02-26 16:38;10.00
92;FBD-1173;629.680.888-74;8;2022-03-04 09:38;2022-03-04 14:08;10.00
127;CAF-5415;757.816.660-36;8;2022-03-06 10:43;2022-03-06 12:28;6.25
133;FBE-7782;409.163.286-60;8;2022-03-06 08:48;2022-03-06 12:18;8.75
17;DLE-1A56;962.178.727-06;9;2022-02-26 11:45;2022-02-26 13:30;12.50
18;CCI-5260;597.955.221-91;9;2022-02-26 08:49;2022-02-26 12:49;20.00
23;LDD-1002;395.005.819-22;9;2022-02-26 12:40;2022-02-26 14:25;12.50
38;KLA-7A63;286.150.469-21;9;2022-02-27 09:09;2022-02-27 12:54;17.50
41;EEL-8147;891.575.889-70;9;2022-02-27 12:58;2022-02-27 15:43;15.00
77;FBE-7782;409.163.286-60;9;2022-03-02 11:02;2022-03-02 14:17;8.75
87;CAF-5415;757.816.660-36;9;2022-03-03 09:39;2022-03-03 10:39;6.25
97;BLB-5D66;746.115.849-09;9;2022-03-04 09:50;2022-03-04 11:50;15.00
115;IJA-7733;900.206.435-78;9;2022-03-05 09:05;2022-03-05 13:35;20.00
129;KFA-3C03;191.921.293-07;9;2022-03-06 08:21;2022-03-06 12:21;20.00
135;CDB-6550;701.815.694-77;9;2022-03-06 12:16;2022-03-06 16:31;10.00
140;ACH-6A95;158.660.877-07;9;2022-03-07 11:50;2022-03-07 14:20;7.50
142;LDD-1002;395.005.819-22;9;2022-03-07 08:24;2022-03-07 09:24;12.50
151;EKA-3455;857.950.358-23;9;2022-03-07 11:54;2022-03-07 16:24;20.00
1;LLL-6246;860.466.368-17;10;2022-02-24 10:11;2022-02-24 11:26;12.50
2;KBK-5248;037.679.092-00;10;2022-02-24 12:53;2022-02-24 15:53;17.50
12;LIB-7295;485.522.339-59;10;2022-02-25 12:00;2022-02-25 13:00;12.50
36;FLL-2392;288.667.376-58;10;2022-02-27 10:58;2022-02-27 15:13;20.00
67;CCI-5260;597.955.221-91;10;2022-03-01 11:11;2022-03-01 13:11;15.00
113;KLA-7A63;286.150.469-21;10;2022-03-05 11:55;2022-03-05 13:40;12.50
157;BKB-3810;330.594.014-03;10;2022-03-08 10:21;2022-03-08 13:21;17.50
19;ELF-7B90;842.022.641-69;11;2022-02-26 10:51;2022-02-26 14:36;17.50
20;BKB-3810;330.594.014-03;11;2022-02-26 12:11;2022-02-26 13:11;12.50
33;CCI-5260;938.014.315-09;11;2022-02-27 09:15;2022-02-27 12:00;15.00
56;IJA-7733;900.206.435-78;11;2022-03-01 10:32;2022-03-01 14:02;17.50
75;EJI-7E35;311.756.371-73;11;2022-03-02 10:48;2022-03-02 12:48;15.00
99;EBI-3338;300.766.852-25;11;2022-03-04 10:17;2022-03-04 14:17;20.00
108;CCI-5260;597.955.221-91;11;2022-03-05 11:41;2022-03-05 13:56;15.00
138;BHI-3F56;645.329.387-08;11;2022-03-07 12:06;2022-03-07 14:51;15.00
8;EBI-3338;300.766.852-25;12;2022-02-25 08:17;2022-02-25 11:47;17.50
11;BLB-5D66;746.115.849-09;12;2022-02-25 11:56;2022-02-25 16:26;20.00
13;EJI-7E35;311.756.371-73;12;2022-02-25 10:22;2022-02-25 13:22;17.50
55;KBK-5248;037.679.092-00;12;2022-03-01 12:18;2022-03-01 14:03;12.50
78;JCF-7153;570.776.506-93;12;2022-03-02 08:05;2022-03-02 11:35;17.50
80;EJI-7E35;311.756.371-73;12;2022-03-03 08:54;2022-03-03 10:24;12.50
88;ILC-2428;763.952.560-84;12;2022-03-03 09:58;2022-03-03 14:28;20.00
101;CCI-5260;938.014.315-09;12;2022-03-04 09:11;2022-03-04 11:26;15.00
103;KLA-7A63;286.150.469-21;12;2022-03-04 10:04;2022-03-04 13:19;17.50
112;EKA-3455;857.950.358-23;12;2022-03-05 12:22;2022-03-05 14:07;12.50
120;LCB-7951;162.262.067-48;12;2022-03-06 08:14;2022-03-06 11:29;17.50
144;BKB-3810;330.594.014-03;12;2022-03-07 11:43;2022-03-07 14:58;17.50
148;DLE-1A56;962.178.727-06;12;2022-03-07 09:24;2022-03-07 11:24;15.00
153;BHI-3F56;645.329.387-08;12;2022-03-07 08:36;2022-03-07 13:06;20.00
27;HCA-6132;694.235.242-06;13;2022-02-26 12:37;2022-02-26 17:07;20.00
46;HCA-6132;694.235.242-06;13;2022-02-28 09:52;2022-02-28 13:22;17.50
57;LAE-4407;787.327.017-30;13;2022-03-01 11:51;2022-03-01 14:36;15.00
62;BHI-3F56;574.746.905-35;13;2022-03-01 11:33;2022-03-01 15:03;17.50
73;KFA-3C03;191.921.293-07;13;2022-03-02 09:38;2022-03-02 13:53;20.00
76;HCA-6132;694.235.242-06;13;2022-03-02 08:09;2022-03-02 10:39;15.00
118;BKB-3810;330.594.014-03;13;2022-03-05 12:25;2022-03-05 15:40;17.50
6;FLL-2392;288.667.376-58;14;2022-02-25 12:20;2022-02-25 16:05;17.50
32;BHI-3F56;574.746.905-35;14;2022-02-27 11:40;2022-02-27 13:55;15.00
40;CCI-5260;597.955.221-91;14;2022-02-27 12:19;2022-02-27 14:19;15.00
45;JCF-7153;570.776.506-93;14;2022-02-28 11:15;2022-02-28 15:30;20.00
52;LDD-1002;395.005.819-22;14;2022-02-28 08:38;2022-02-28 12:38;20.00
60;CCI-5260;938.014.315-09;14;2022-03-01 08:39;2022-03-01 12:24;17.50
69;CCI-5260;597.955.221-91;14;2022-03-01 09:01;2022-03-01 10:16;12.50
95;DLE-1A56;962.178.727-06;14;2022-03-04 10:53;2022-03-04 15:23;20.00
98;CCI-5260;938.014.315-09;14;2022-03-04 08:14;2022-03-04 10:14;15.00
111;BFC-3C01;618.874.220-05;14;2022-03-05 11:18;2022-03-05 12:48;12.50
163;ILC-2428;763.952.560-84;14;2022-03-08 10:58;2022-03-08 12:43;12.50
165;JKF-6A99;782.603.942-86;14;2022-03-08 11:36;2022-03-08 13:36;15.00
168;BFC-3C01;618.874.220-05;14;2022-03-08 12:06;2022-03-08 16:36;20.00
21;IJA-7733;900.206.435-78;15;2022-02-26 12:44;2022-02-26 16:14;17.50
37;LDD-1002;395.005.819-22;15;2022-02-27 09:14;2022-02-27 12:29;17.50
72;LLL-6246;860.466.368-17;15;2022-03-02 11:46;2022-03-02 13:46;15.00
81;LDD-1002;395.005.819-22;15;2022-03-03 12:48;2022-03-03 14:33;12.50
89;ELF-7B90;842.022.641-69;15;2022-03-03 11:35;2022-03-03 15:50;20.00
125;IJA-7733;900.206.435-78;15;2022-03-06 11:32;2022-03-06 16:02;20.00
137;KBK-5248;037.679.092-00;15;2022-03-06 09:35;2022-03-06 12:50;17.50
139;DLE-1A56;962.178.727-06;15;2022-03-07 12:40;2022-03-07 15:40;17.50
147;BFC-3C01;618.874.220-05;15;2022-03-07 08:58;2022-03-07 11:13;15.00
158;HCA-6132;694.235.242-06;15;2022-03-08 10:52;2022-03-08 14:52;20.00
9;KFA-3C03;191.921.293-07;16;2022-02-25 10:40;2022-02-25 12:10;12.50
44;JCF-7153;570.776.506-93;16;2022-02-28 12:43;2022-02-28 15:28;15.00
53;BHI-3F56;645.329.387-08;16;2022-02-28 10:16;2022-02-28 13:16;17.50
65;CCI-5260;597.955.221-91;16;2022-03-01 11:56;2022-03-01 14:56;17.50
71;BFC-3C01;618.874.220-05;16;2022-03-01 10:34;2022-03-01 12:19;12.50
116;FLL-2392;288.667.376-58;16;2022-03-05 11:15;2022-03-05 15:30;20.00
117;CCI-5260;597.955.221-91;16;2022-03-05 10:50;2022-03-05 12:05;12.50
162;FLL-2392;288.667.376-58;16;2022-03-08 10:25;2022-03-08 14:55;20.00
164;BLB-5D66;746.115.849-09;16;2022-03-08 09:02;2022-03-08 12:32;17.50
16;LAE-4407;787.327.017-30;17;2022-02-26 09:23;2022-02-26 11:08;12.50
48;EKA-3455;857.950.358-23;17;2022-02-28 11:25;2022-02-28 14:55;17.50
49;ILC-2428;763.952.560-84;17;2022-02-28 10:35;2022-02-28 12:20;12.50
79;LIB-7295;485.522.339-59;17;2022-03-03 09:53;2022-03-03 11:08;12.50
84;DLE-1A56;962.178.727-06;17;2022-03-03 11:06;2022-03-03 12:51;12.50
91;HCA-6132;694.235.242-06;17;2022-03-04 12:09;2022-03-04 13:09;12.50
107;DLE-1A56;962.178.727-06;17;2022-03-05 08:56;2022-03-05 09:56;12.50
141;HCA-6132;694.235.242-06;17;2022-03-07 10:34;2022-03-07 14:04;17.50
145;KLA-7A63;286.150.469-21;17;2022-03-07 08:27;2022-03-07 12:27;20.00
166;JKF-6A99;782.603.942-86;17;2022-03-08 08:06;2022-03-08 11:51;17.50
5;EKA-3455;857.950.358-23;18;2022-02-24 08:47;2022-02-24 10:32;12.50
24;BFC-3C01;618.874.220-05;18;2022-02-26 08:58;2022-02-26 12:28;17.50
29;LCB-7951;162.262.067-48;18;2022-02-27 12:57;2022-02-27 15:57;17.50
42;EKA-3455;857.950.358-23;18;2022-02-28 12:07;2022-02-28 15:22;17.50
68;EEL-8147;891.575.889-70;18;2022-03-01 11:03;2022-03-01 13:33;15.00
83;LAE-4407;787.327.017-30;18;2022-03-03 08:12;2022-03-03 10:57;15.00
100;KFA-3C03;191.921.293-07;18;2022-03-04 10:08;2022-03-04 12:08;15.00
102;LDD-1002;395.005.819-22;18;2022-03-04 08:28;2022-03-04 09:43;12.50
104;EJI-7E35;311.756.371-73;18;2022-03-04 12:32;2022-03-04 14:47;15.00
122;CCI-5260;597.955.221-91;18;2022-03-06 12:43;2022-03-06 13:58;12.50
132;CCI-5260;597.955.221-91;18;2022-03-06 12:37;2022-03-06 14:37;15.00
136;JCF-7153;570.776.506-93;18;2022-03-06 09:11;2022-03-06 13:26;20.00
152;BFC-3C01;618.874.220-05;18;2022-03-07 09:57;2022-03-07 14:12;20.00
154;ILC-2428;763.952.560-84;18;2022-03-07 10:16;2022-03-07 14:16;20.00
74;ILC-2428;763.952.560-84;19;2022-03-02 10:33;2022-03-02 15:03;20.00
