matricula;nome;cargo;setor;pin
201;Ursula Filho;Aux. Administrativo;Administração;1234
202;Naiara Bispo Bispo;Gerente Geral;Administração;4321
203;Douglas Alves Mattos;Pedreiro;Manutenção;1234
204;Marcos Martim Martins;Ajudante Geral;Manutenção;4321
205;Jaqueline Filho Teixeira;Carpinteiro;Manutenção;1234
206;Yago de Oliveira Matos;Eletricista;Manutenção;4321
207;Daniela Martins Sobrinho;Encanador;Manutenção;1234
208;Ursula da Silva Filho;Recepcionista;Recepção;4321
209;Ana Alves;Aux. Limpeza;Manutenção;1234
210;Zélia Mattos;Téc. Contabilidade;Contabilidade;4321
