"Data","Cidade","UF","Vendedor","Salario","Veículo","Preço"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Ka","46863"
"6-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","33250"
"6-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","41291"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Logan","28386"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","50285"
"6-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","19305"
"6-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","15410"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","55474"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Polo","42202"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","15557"
"6-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","43022"
"25-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","42765"
"25-Jan-2020","Americana","SP","Elian Belli","1800","Fiesta","10912"
"25-Jan-2020","Americana","SP","Elian Belli","1800","Logan","10572"
"25-Jan-2020","Americana","SP","Elian Belli","1800","Civic","15395"
"9-Jan-2020","Americana","SP","Elian Belli","1800","Logan","21399"
"9-Jan-2020","Americana","SP","Elian Belli","1800","Corola","10979"
"9-Jan-2020","Americana","SP","Elian Belli","1800","Corola","41842"
"9-Jan-2020","Americana","SP","Elian Belli","1800","Logan","18311"
"18-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","20572"
"14-Jan-2020","Americana","SP","Elian Belli","1800","Uno","40375"
"14-Jan-2020","Americana","SP","Elian Belli","1800","Polo","57665"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Fiesta","10781"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Ka","21900"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Civic","29383"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Gol","49164"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Civic","58818"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Gol","29778"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Ka","34326"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","22904"
"20-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","24974"
"20-Jan-2020","Americana","SP","Elian Belli","1800","Logan","37997"
"11-Jan-2020","Americana","SP","Elian Belli","1800","Pálio","56084"
"11-Jan-2020","Americana","SP","Elian Belli","1800","Gol","37547"
"11-Jan-2020","Americana","SP","Elian Belli","1800","Polo","29029"
"11-Jan-2020","Americana","SP","Elian Belli","1800","Uno","30282"
"11-Jan-2020","Americana","SP","Elian Belli","1800","Corola","25298"
"11-Jan-2020","Americana","SP","Elian Belli","1800","Uno","15489"
"27-Jan-2020","Americana","SP","Elian Belli","1800","Logan","24723"
"27-Jan-2020","Americana","SP","Elian Belli","1800","EcoSport","45786"
"27-Jan-2020","Americana","SP","Elian Belli","1800","Uno","12275"
