id_cliente;cpf;nome_cliente;cep;numero;complemento
1;10134642570;Quevin Bispo;13914-552;940;
2;48487609090;Sara de Souza Alves;13910-001;604;
3;54991523141;Evandro Silva;13910-972;289;
4;87047871705;Zélia Neto;13919-407;233;
5;65992434445;Tatiane Oliveira Teixeira;13910-959;488;
6;45574598116;Gilberto Martim;13910-007;776;fundos
7;21982639555;Ivo Souza;13911-410;413;
8;48458406004;Tatiane Silva Souza;13911-008;47;
9;71462650139;Umberto Oliveira Neto;13911-268;249;AP14 BL24
10;93609717076;Gisele Matos;13911-270;231;
11;82907004310;Douglas de Oliveira Oliveira;13910-027;444;
12;44829912014;Timóteo Bispo;13919-070;77;
13;16468402670;Hugo Bispo;13919-080;227;
14;48523092218;Carla Bispo Júnior;13919-142;375;
15;39004645454;Helena Matos;13919-112;421;AP14 BL26
16;86830839777;Willian Oliveira Neto;13911-400;336;
17;62987231881;Xeila Bispo;13919-408;210;
18;71542576601;Flávia Alves;13910-013;30;
19;19953547327;Paula Custódio Mattos;13919-410;886;fundos
20;24712975369;Hugo Martins;13910-005;603;
21;50292370970;Valéria Martins Custódio;13919-412;753;
22;17443779950;Evandro Oliveira;13911-128;536;AP44 BL10
23;83887927176;Antônio Custódio;13919-414;769;
24;63667129300;Carla Silva;13911-090;663;
25;89497964226;Luis Filho Teixeira;13919-412;400;
26;14890417109;Eva Silva;13919-152;542;
27;50069879010;Xailo Souza de Souza;13919-414;140;
28;59976417241;Norberto Teixeira;13919-415;103;
29;28279405151;Bruna Oliveira Neto;13919-404;93;
