Funcionário;Quando;Valor;Tipo
Arnaldo Antunes;09/08/2023 19:00;R$ 27,00;Cartão
Arnaldo Antunes;09/08/2023 18:37;R$ 12,00;Dinheiro
Arnaldo Antunes;09/08/2023 18:27;R$ 39,00;Dinheiro
Arnaldo Antunes;09/08/2023 17:42;R$ 60,00;Dinheiro
Arnaldo Antunes;09/08/2023 17:39;R$ 78,00;Cartão
Arnaldo Antunes;09/08/2023 17:21;R$ 33,00;Dinheiro
Arnaldo Antunes;09/08/2023 17:11;R$ 87,00;Cartão
Arnaldo Antunes;09/08/2023 17:05;R$ 87,00;Cartão
Arnaldo Antunes;09/08/2023 16:53;R$ 45,00;Cartão
Arnaldo Antunes;09/08/2023 16:50;R$ 141,00;Cartão
Arnaldo Antunes;09/08/2023 16:30;R$ 14,00;Cartão
Arnaldo Antunes;09/08/2023 16:14;R$ 45,00;Cartão
Arnaldo Antunes;09/08/2023 15:41;R$ 72,00;Cartão
Arnaldo Antunes;09/08/2023 15:38;R$ 42,00;Cartão
Arnaldo Antunes;09/08/2023 15:36;R$ 42,00;Cartão
Arnaldo Antunes;09/08/2023 15:31;R$ 30,00;Dinheiro
Arnaldo Antunes;09/08/2023 15:24;R$ 24,00;Dinheiro
Arnaldo Antunes;09/08/2023 15:23;R$ 14,00;Dinheiro
Arnaldo Antunes;09/08/2023 15:15;R$ 75,00;Dinheiro
Arnaldo Antunes;09/08/2023 14:26;R$ 96,00;Dinheiro
Mariana Lima;08/08/2023 19:12;R$ 78,00;Cartão
Marcelo Silva;08/08/2023 19:03;R$ 51,00;Cartão
Mariana Lima;08/08/2023 19:00;R$ 78,00;Cartão
Mariana Lima;08/08/2023 18:59;R$ 35,50;Dinheiro
Mariana Lima;08/08/2023 18:56;R$ 41,00;Cartão
Marcelo Silva;08/08/2023 18:50;R$ 51,00;Dinheiro
Mariana Lima;08/08/2023 18:40;R$ 52,00;Cartão
Mariana Lima;08/08/2023 18:37;R$ 62,50;Cartão
Mariana Lima;08/08/2023 18:37;R$ 67,00;Dinheiro
Mariana Lima;08/08/2023 18:31;R$ 36,00;Dinheiro
Mariana Lima;08/08/2023 18:28;R$ 36,00;Cartão
Marcelo Silva;08/08/2023 18:23;R$ 72,00;Cartão
Mariana Lima;08/08/2023 18:21;R$ 37,00;Cartão
Mariana Lima;08/08/2023 18:17;R$ 48,00;Cartão
Mariana Lima;08/08/2023 18:12;R$ 15,50;Cartão
Mariana Lima;08/08/2023 18:12;R$ 62,00;Cartão
Marcelo Silva;08/08/2023 18:10;R$ 99,00;Cartão
Mariana Lima;08/08/2023 18:08;R$ 41,50;Cartão
Mariana Lima;08/08/2023 18:05;R$ 57,00;Dinheiro
Mariana Lima;08/08/2023 18:00;R$ 30,50;Cartão
Marcelo Silva;08/08/2023 17:58;R$ 108,00;Dinheiro
Mariana Lima;08/08/2023 17:57;R$ 21,00;Cartão
Mariana Lima;08/08/2023 17:57;R$ 57,00;Cartão
Mariana Lima;08/08/2023 17:57;R$ 96,00;Cartão
Marcelo Silva;08/08/2023 17:51;R$ 111,00;Dinheiro
Mariana Lima;08/08/2023 17:49;R$ 41,50;Cartão
Mariana Lima;08/08/2023 17:45;R$ 47,50;Dinheiro
Mariana Lima;08/08/2023 17:38;R$ 48,00;Cartão
Marcelo Silva;08/08/2023 17:36;R$ 78,00;Dinheiro
Marcelo Silva;08/08/2023 17:18;R$ 54,00;Dinheiro
Marcelo Silva;08/08/2023 17:18;R$ 48,00;Cartão
Mariana Lima;08/08/2023 17:13;R$ 62,00;Dinheiro
Marcelo Silva;08/08/2023 17:05;R$ 99,00;Dinheiro
Mariana Lima;08/08/2023 16:55;R$ 62,50;Cartão
Mariana Lima;08/08/2023 16:52;R$ 51,00;Cartão
Mariana Lima;08/08/2023 16:50;R$ 72,00;Cartão
Marcelo Silva;08/08/2023 16:49;R$ 54,00;Dinheiro
Marcelo Silva;08/08/2023 16:29;R$ 60,00;Cartão
Mariana Lima;08/08/2023 16:27;R$ 30,50;Dinheiro
Marcelo Silva;08/08/2023 16:27;R$ 93,00;Cartão
Marcelo Silva;08/08/2023 16:22;R$ 99,00;Cartão
Marcelo Silva;08/08/2023 16:19;R$ 33,00;Dinheiro
Mariana Lima;08/08/2023 16:09;R$ 51,00;Cartão
Mariana Lima;08/08/2023 16:07;R$ 30,50;Cartão
Mariana Lima;08/08/2023 15:54;R$ 114,00;Dinheiro
Marcelo Silva;08/08/2023 15:48;R$ 93,00;Cartão
Mariana Lima;08/08/2023 15:47;R$ 57,00;Dinheiro
Marcelo Silva;08/08/2023 15:46;R$ 96,00;Cartão
Marcelo Silva;08/08/2023 15:46;R$ 102,00;Cartão
Mariana Lima;08/08/2023 15:43;R$ 40,50;Cartão
