id_cliente;cpf;nome_completo;endereco;telefone
1;111.111.111-11;Quevin Bispo;13919-404,940,;(19)97879-7898
2;222.222.222-22;Sara de Souza Alves;13919-405,604,;(19)97879-4568
3;333.333.333-33;Evandro Silva;13919-406,289,;(19)97879-9999
4;444.444.444-44;Zélia Neto;13919-407,233,;(19)94565-7898
5;555.555.555-55;Tatiane Oliveira Teixeira;13919-408,488,;(19)94565-4565
6;666.666.666-66;Gilberto Martim;13919-409,776,fundos;(19)94565-1111
7;777.777.777-77;Ivo Souza;13919-410,413,;(19)94565-2222
8;888.888.888-88;Tatiane Silva Souza;13919-411,47,;(19)94565-4568
9;999.999.999-99;Umberto Oliveira Neto;13919-412,249,AP14 BL24;(19)94565-5645
10;\N;Gisele Matos;13919-413,231,;(19)94565-5465
11;\N;Douglas de Oliveira Oliveira;13919-414,444,;(19)94565-7891
12;\N;Timóteo Bispo;13919-415,77,;(19)94565-7892
13;\N;Hugo Bispo;13919-404,227,;(19)94565-7896
14;\N;Carla Bispo Júnior;13919-405,375,;94565-1112
15;\N;Helena Matos;13919-406,421,AP14 BL26;94565-1113
16;\N;Willian Oliveira Neto;13919-407,336,;94565-1159
17;\N;Xeila Bispo;13919-408,210,;94565-1177
18;\N;Flávia Alves;13919-409,30,;94565-1116
19;\N;Paula Custódio Mattos;13919-410,886,fundos;94565-1118
20;\N;Hugo Martins;13919-411,603,;94565-1119
21;\N;Valéria Martins Custódio;13919-412,753,;94565-1114
22;\N;Evandro Custódio Custódio;13919-413,536,AP44 BL10;94565-1113
23;\N;Antônio Custódio;13919-414,769,;94565-1145
24;\N;Carla Silva;13919-415,663,;94565-1156
25;\N;Luis Filho Teixeira;13919-412,400,;94565-1151
26;\N;Eva Júnior Júnior;13919-413,542,;94565-1111
27;\N;Xailo Souza de Souza;13919-414,140,;94565-1511
28;\N;Norberto Teixeira;13919-415,103,;94565-1115
29;\N;Bruna Oliveira Neto;13919-404,93,;94565-1112
